日期,开盘,收盘,最高,最低,成交量
2022-01-04,115.31,115.38,117.0,108.57,733848.0
2022-01-05,115.26,110.72,117.76,110.35,994384.0
2022-01-06,111.06,110.59,113.28,107.08,521311.0
2022-01-07,111.0,108.9,112.77,107.8,457564.0
2022-01-10,108.78,113.98,114.41,106.38,553023.0
2022-01-11,113.88,114.41,116.26,112.11,354707.0
2022-01-12,113.83,115.99,116.66,113.04,382459.0
2022-01-13,115.01,115.51,118.8,114.69,420777.0
2022-01-14,115.01,119.0,121.46,111.18,774017.0
2022-01-17,118.99,118.54,120.69,117.5,601918.0
2022-01-18,118.03,113.81,119.33,113.01,762616.0
2022-01-19,117.47,117.5,122.0,113.81,917028.0
2022-01-20,117.09,116.42,118.38,114.09,590402.0
2022-01-21,117.49,117.6,119.49,114.28,334155.0
2022-01-24,118.67,122.28,123.44,115.68,731399.0
2022-01-25,124.0,123.2,124.36,119.99,739815.0
2022-01-26,123.0,120.35,124.0,117.45,585641.0
2022-01-27,119.28,113.97,124.21,112.74,648833.0
2022-01-28,113.14,114.6,117.48,112.23,533163.0
2022-02-07,116.56,109.1,117.73,108.0,898327.0
2022-02-08,110.25,108.82,110.4,106.01,502514.0
2022-02-09,108.82,111.7,112.31,107.99,408990.0
2022-02-10,111.83,118.79,123.98,111.83,1277742.0
2022-02-11,118.79,117.8,122.5,114.23,1030370.0
2022-02-14,117.09,120.5,122.99,115.0,862889.0
2022-02-15,120.47,126.0,126.69,119.51,904452.0
2022-02-16,124.11,122.66,126.88,121.3,735160.0
2022-02-17,119.91,123.18,125.7,119.0,489103.0
2022-02-18,123.13,119.86,123.13,117.61,488653.0
2022-02-21,121.31,116.2,121.31,115.02,705881.0
2022-02-22,115.15,112.8,115.99,112.0,392800.0
2022-02-23,113.16,120.68,121.5,112.86,750192.0
2022-02-24,119.18,116.24,121.86,114.56,637648.0
2022-02-25,118.4,118.96,121.21,117.83,487595.0
2022-02-28,117.72,118.36,118.74,115.3,714925.0
2022-03-01,118.37,124.75,124.94,115.38,1003222.0
2022-03-02,123.0,120.3,123.47,118.77,550584.0
2022-03-03,121.0,114.21,121.47,113.7,669196.0
2022-03-04,113.99,113.71,115.88,111.88,353925.0
2022-03-07,112.88,113.5,114.93,111.44,348148.0
2022-03-08,112.18,109.8,115.28,109.07,461925.0
2022-03-09,110.9,108.51,112.0,103.07,380174.0
2022-03-10,111.99,111.0,114.38,110.01,431447.0
2022-03-11,110.0,110.19,110.99,104.0,520373.0
2022-03-14,108.98,106.03,108.98,106.03,223036.0
2022-03-15,106.0,103.79,108.0,102.0,325659.0
2022-03-16,105.99,108.6,108.88,102.03,377219.0
2022-03-17,109.99,113.39,116.45,109.26,526433.0
2022-03-18,114.28,110.67,114.28,110.29,227985.0
2022-03-21,111.3,116.43,118.01,111.3,498957.0
2022-03-22,115.95,115.21,117.79,115.05,216613.0
2022-03-23,116.8,116.7,117.0,114.0,363490.0
2022-03-24,114.28,112.99,115.4,112.33,213258.0
2022-03-25,113.98,109.0,114.5,108.31,295237.0
2022-03-28,108.38,99.9,108.53,99.11,999596.0
2022-03-29,99.95,93.17,100.0,91.0,1350718.0
2022-03-30,93.0,97.4,98.06,93.0,551867.0
2022-03-31,98.0,93.28,98.0,92.01,450902.0
2022-04-01,94.31,91.31,94.31,89.75,549783.0
2022-04-06,91.31,89.64,92.95,87.0,551172.0
2022-04-07,90.98,86.43,90.98,86.29,336596.0
2022-04-08,88.0,86.7,89.72,85.1,452331.0
2022-04-11,88.0,81.56,88.0,81.16,427146.0
2022-04-12,81.57,82.65,84.75,80.81,474659.0
2022-04-13,82.65,82.8,86.52,78.06,485084.0
2022-04-14,82.8,83.53,84.28,80.87,337754.0
2022-04-15,83.53,87.2,88.55,81.02,585747.0
2022-04-18,85.98,87.7,90.48,84.3,420942.0
2022-04-19,87.78,88.36,88.92,86.05,282750.0
2022-04-20,86.1,87.2,88.33,86.1,157627.0
2022-04-21,85.89,85.0,87.21,83.3,351411.0
2022-04-22,84.11,79.17,85.64,79.17,424910.0
2022-04-25,78.03,71.5,78.03,68.63,766162.0
2022-04-26,71.5,68.41,72.74,67.22,507697.0
2022-04-27,65.07,72.09,73.25,63.88,729826.0
2022-04-28,71.74,71.3,73.36,70.5,395731.0
2022-04-29,72.33,73.3,73.3,68.52,380324.0
2022-05-05,72.0,75.89,79.99,71.6,443080.0
2022-05-06,74.26,73.92,75.81,72.0,301573.0
2022-05-09,75.47,73.92,77.17,73.12,228300.0
2022-05-10,73.21,76.2,77.0,72.0,284223.0
2022-05-11,78.0,79.8,81.88,75.8,366630.0
2022-05-12,79.5,81.66,82.88,78.75,300383.0
2022-05-13,83.0,80.86,83.45,80.13,180589.0
2022-05-16,80.86,80.28,82.5,79.3,182258.0
2022-05-17,79.81,80.6,82.63,79.41,215484.0
2022-05-18,80.57,79.6,81.1,78.55,391818.0
2022-05-19,77.53,82.4,82.5,77.5,415797.0
2022-05-20,82.0,84.97,87.29,80.22,559608.0
2022-05-23,90.5,86.38,91.0,84.0,1054339.0
2022-05-24,87.0,79.65,87.29,79.01,785348.0
2022-05-25,79.65,78.53,81.18,77.52,416628.0
2022-05-26,79.71,80.97,82.0,77.0,286233.0
2022-05-27,81.0,81.77,85.66,80.13,451857.0
2022-05-30,82.96,82.45,82.96,79.01,288381.0
2022-05-31,81.8,83.57,84.48,79.56,376458.0
2022-06-01,83.57,85.77,87.48,82.08,358704.0
2022-06-02,84.12,90.0,90.38,84.12,522788.0
2022-06-06,89.73,93.79,95.5,88.9,590651.0
2022-06-07,91.46,91.01,95.4,88.88,602478.0
2022-06-08,89.19,88.28,91.81,86.69,436669.0
2022-06-09,88.17,84.2,89.35,84.2,345605.0
2022-06-10,84.09,88.59,89.5,84.0,624614.0
2022-06-13,88.0,91.53,92.79,87.02,580287.0
2022-06-14,92.1,91.8,93.98,88.59,621316.0
