日期,开盘,收盘,最高,最低,成交量
2021-01-04,45.39,47.79,47.8,45.11,152637.74
2021-01-05,47.4,47.34,49.07,46.7,133717.44
2021-01-06,47.47,47.1,47.87,46.12,98867.9
2021-01-07,47.22,49.2,49.23,46.21,162906.7
2021-01-08,48.87,46.82,49.47,46.0,167624.68
2021-01-11,46.67,45.87,47.6,45.07,149965.56
2021-01-12,45.51,46.2,46.51,44.7,113581.04
2021-01-13,46.15,43.71,46.35,42.95,183988.01
2021-01-14,43.79,43.94,44.56,43.01,91025.64
2021-01-15,43.84,43.2,43.87,42.22,84991.51
2021-01-18,43.2,44.87,45.13,42.37,92684.9
2021-01-19,44.99,44.31,45.92,43.9,72745.71
2021-01-20,44.0,44.36,45.23,43.0,106441.58
2021-01-21,44.11,48.23,48.48,44.11,192015.6
2021-01-22,48.17,50.75,50.87,47.6,183377.85
2021-01-25,50.75,50.91,52.0,49.82,196872.17
2021-01-26,50.52,51.47,52.39,49.87,127092.18
2021-01-27,51.48,50.45,51.93,48.55,142154.78
2021-01-28,49.03,48.3,50.1,48.0,122805.71
2021-01-29,48.85,48.0,49.3,47.18,130509.23
2021-02-01,48.1,50.71,51.43,48.0,150527.62
2021-02-02,50.78,51.3,51.75,49.61,136627.78
2021-02-03,51.5,50.3,52.39,50.29,114143.69
2021-02-04,50.52,51.7,52.84,50.4,155783.3
2021-02-05,51.62,49.36,53.48,49.15,163207.72
2021-02-08,49.37,51.6,52.0,49.37,111697.9
2021-02-09,49.52,51.38,51.68,48.8,179478.46
2021-02-10,52.3,55.68,56.37,51.8,206215.36
2021-02-18,57.01,56.5,58.0,54.5,207280.27
2021-02-19,55.6,54.0,56.45,52.29,166029.86
2021-02-22,53.72,50.68,54.0,50.68,144481.82
2021-02-23,49.88,49.3,51.1,49.0,105373.23
2021-02-24,49.6,47.53,50.65,47.01,131711.28
2021-02-25,47.98,46.97,48.2,46.61,82296.56
2021-02-26,41.54,45.04,45.65,41.54,128391.02
2021-03-01,45.29,46.24,46.68,44.5,103047.37
2021-03-02,46.5,45.7,46.67,44.98,78091.89
2021-03-03,45.51,44.95,45.8,44.0,83537.33
