序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,300502,新易盛,9.83,175.1,17181.27,2025年1季度股票投资明细
2,300308,中际旭创,9.7,172.0,16966.08,2025年1季度股票投资明细
3,300476,胜宏科技,9.53,205.77,16669.53,2025年1季度股票投资明细
4,300394,天孚通信,9.12,188.45,15946.64,2025年1季度股票投资明细
5,002837,英维克,8.37,376.0,14637.68,2025年1季度股票投资明细
6,600601,方正科技,8.3,2993.56,14518.77,2025年1季度股票投资明细
7,300757,罗博特科,7.09,68.16,12406.36,2025年1季度股票投资明细
8,000988,华工科技,6.12,260.41,10700.25,2025年1季度股票投资明细
9,300442,润泽科技,5.01,153.4,8765.28,2025年1季度股票投资明细
10,300570,太辰光,4.3,90.0,7515.0,2025年1季度股票投资明细
11,300308,中际旭创,9.78,71.16,10378.86,2025年2季度股票投资明细
12,300502,新易盛,9.74,81.31,10328.25,2025年2季度股票投资明细
13,002837,英维克,9.73,347.49,10323.87,2025年2季度股票投资明细
14,300476,胜宏科技,8.95,70.61,9489.07,2025年2季度股票投资明细
15,300548,长芯博创,8.91,141.58,9453.3,2025年2季度股票投资明细
16,300394,天孚通信,8.21,109.11,8711.72,2025年2季度股票投资明细
17,688205,德科立,8.09,136.82,8577.03,2025年2季度股票投资明细
18,688313,仕佳光子,8.07,225.09,8564.61,2025年2季度股票投资明细
19,600601,方正科技,5.47,1085.73,5797.8,2025年2季度股票投资明细
20,002463,沪电股份,5.19,129.19,5500.91,2025年2季度股票投资明细
21,301205,联特科技,4.65,51.45,4932.0,2025年2季度股票投资明细
22,002384,东山精密,3.61,101.27,3824.97,2025年2季度股票投资明细
23,688775,影石创新,0.01,0.06,8.95,2025年2季度股票投资明细
24,688449,联芸科技,0.01,0.14,5.82,2025年2季度股票投资明细
25,001390,古麒绒材,0.0,0.18,4.06,2025年2季度股票投资明细
26,688545,兴福电子,0.0,0.1,2.68,2025年2季度股票投资明细
27,301622,英思特,0.0,0.03,2.67,2025年2季度股票投资明细
28,301458,钧崴电子,0.0,0.07,2.39,2025年2季度股票投资明细
29,603049,中策橡胶,0.0,0.06,2.38,2025年2季度股票投资明细
30,301275,汉朔科技,0.0,0.04,2.23,2025年2季度股票投资明细
31,301678,新恒汇,0.0,0.04,2.07,2025年2季度股票投资明细
32,688583,思看科技,0.0,0.02,1.81,2025年2季度股票投资明细
33,301602,超研股份,0.0,0.07,1.63,2025年2季度股票投资明细
34,301501,恒鑫生活,0.0,0.03,1.58,2025年2季度股票投资明细
35,603202,天有为,0.0,0.02,1.54,2025年2季度股票投资明细
36,001388,信通电子,0.0,0.09,1.54,2025年2季度股票投资明细
37,301479,弘景光电,0.0,0.02,1.42,2025年2季度股票投资明细
38,301535,浙江华远,0.0,0.07,1.39,2025年2季度股票投资明细
39,301662,宏工科技,0.0,0.01,1.36,2025年2季度股票投资明细
40,688758,赛分科技,0.0,0.08,1.32,2025年2季度股票投资明细
41,301658,首航新能,0.0,0.04,1.25,2025年2季度股票投资明细
42,603072,天和磁材,0.0,0.02,1.23,2025年2季度股票投资明细
43,301603,乔锋智能,0.0,0.02,1.18,2025年2季度股票投资明细
44,301580,爱迪特,0.0,0.03,1.17,2025年2季度股票投资明细
45,301601,惠通科技,0.0,0.03,1.16,2025年2季度股票投资明细
46,301590,优优绿能,0.0,0.01,1.11,2025年2季度股票投资明细
47,301665,泰禾股份,0.0,0.04,1.11,2025年2季度股票投资明细
48,001356,富岭股份,0.0,0.07,1.02,2025年2季度股票投资明细
49,688755,汉邦科技,0.0,0.02,0.9,2025年2季度股票投资明细
50,301173,毓恬冠佳,0.0,0.02,0.78,2025年2季度股票投资明细
51,001382,新亚电缆,0.0,0.04,0.73,2025年2季度股票投资明细
52,603014,威高血净,0.0,0.02,0.72,2025年2季度股票投资明细
53,301595,太力科技,0.0,0.02,0.7,2025年2季度股票投资明细
54,301636,泽润新能,0.0,0.01,0.69,2025年2季度股票投资明细
55,301560,众捷汽车,0.0,0.02,0.63,2025年2季度股票投资明细
56,603210,泰鸿万立,0.0,0.03,0.56,2025年2季度股票投资明细
