日期,开盘,最高,最低,收盘,成交量,成交额,换手率,涨跌幅
2019-01-02,24.43,25.47,24.1,25.4,4160130,103460082.19,2.542134,5.088952
2019-01-03,25.3,25.3,23.61,23.61,4888150,118606077.18,2.987006,-7.04724
2019-01-04,23.06,24.8,23.05,24.66,3575192,85950605.04,2.184696,4.447265
2019-01-07,24.68,26.1,24.65,25.8,5138825,131498421.67,3.140186,4.622869
2019-01-08,25.6,25.94,25.12,25.66,3439305,88095529.04,2.101659,-0.542633
2019-01-09,25.8,26.39,25.27,25.43,3883538,100604085.45,2.373117,-0.896335
2019-01-10,25.45,26.88,25.21,26.4,5692275,149498053.02,3.478383,3.814389
2019-01-11,26.67,27.27,26.01,26.31,4889391,130374026.17,2.987764,-0.34091
2019-01-14,26.18,26.83,25.57,26.8,3627382,95407521.43,2.216587,1.862409
2019-01-15,26.3,27.24,25.81,26.95,4568612,121359629.2,2.791746,0.559707
2019-01-16,26.78,27.97,26.61,27.03,4225910,115690408.29,2.58233,0.296846
2019-01-17,26.93,27.4,26.34,26.4,3026457,81160440.47,1.84938,-2.330747
2019-01-18,26.4,26.84,25.85,26.65,2656963,70053462.61,1.623593,0.94697
2019-01-21,26.5,27.45,26.35,27.16,2932533,79304676.09,1.791985,1.913697
2019-01-22,27.01,27.15,26.35,26.5,2775014,73720232.14,1.69573,-2.430043
2019-01-23,26.41,26.68,25.93,26.2,2188290,57477915.54,1.3372,-1.132073
2019-01-24,26.1,27.19,26.0,26.53,2616032,69804420.04,1.598581,1.259542
2019-01-25,26.55,27.2,26.3,26.69,2504533,66908801.52,1.530447,0.60309
2019-01-28,26.68,26.83,26.11,26.3,1876978,49563623.04,1.146967,-1.461226
2019-01-29,26.23,26.23,24.9,25.3,2850551,72739781.37,1.741889,-3.802282
2019-01-30,25.06,26.69,25.06,25.8,3059500,79870267.82,1.869571,1.976285
2019-01-31,26.2,27.12,25.64,26.36,2929443,77736861.41,1.790097,2.170548
2019-02-01,26.36,27.77,26.26,27.69,3725009,101448962.82,2.276244,5.045523
2019-02-11,27.99,30.1,27.76,29.89,5822957,169478738.41,3.558239,7.945103
2019-02-12,29.94,30.1,29.5,29.66,3562184,105980627.13,2.176747,-0.769487
2019-02-13,29.54,31.19,29.53,30.01,6190080,187164925.63,3.782577,1.180042
2019-02-14,29.9,30.01,29.4,29.73,2889815,85939718.66,1.765882,-0.933025
2019-02-15,29.9,30.61,29.4,29.57,3574044,107149947.69,2.183994,-0.538176
2019-02-18,30.3,30.65,29.59,30.42,4677707,141282140.97,2.85841,2.874536
2019-02-19,30.6,32.16,30.58,31.7,6643234,209073035.77,4.059487,4.20776
2019-02-20,31.0,31.17,29.84,30.7,5738760,174447387.46,3.506789,-3.154574
2019-02-21,30.48,32.57,30.11,31.05,5876356,184857547.11,3.59087,1.14006
2019-02-22,30.96,33.28,30.8,33.16,5390893,172672875.68,3.294217,6.795494
2019-02-25,34.0,35.66,32.9,34.96,6644170,227890427.64,4.060058,5.428225
2019-02-26,34.08,35.49,33.35,33.38,5907101,201274419.94,3.609657,-4.519445
2019-02-27,33.03,33.89,32.21,32.43,3747237,123220738.69,2.289827,-2.846018
2019-02-28,32.49,33.47,32.4,33.19,2894693,95601316.29,1.768862,2.343504
2019-03-01,33.22,33.75,32.51,33.7,2563993,85013284.08,1.566781,1.536614
2019-03-04,33.95,34.55,33.2,33.79,3833454,130423194.12,2.342512,0.267063
2019-03-05,33.5,34.35,32.85,34.26,3998458,134410424.85,2.443341,1.390936
2019-03-06,34.31,34.5,33.43,34.08,3385200,114732798.42,2.068597,-0.525384
2019-03-07,33.67,34.08,32.4,32.76,4240621,139949944.24,2.59132,-3.87325
2019-03-08,32.3,35.18,32.05,32.93,5809056,196441518.97,3.549745,0.518932
2019-03-11,33.21,34.21,32.8,33.65,5547683,185776645.26,3.390027,2.18646
2019-03-12,33.62,33.89,33.05,33.48,4783716,160138527.73,2.923189,-0.505207
2019-03-13,33.37,33.43,31.61,32.0,3464118,113571939.75,2.116821,-4.420548
2019-03-14,31.63,32.52,31.05,31.62,2688595,85879269.04,1.642922,-1.187497
2019-03-15,31.9,32.36,30.44,31.12,4066427,127043785.58,2.484875,-1.581278
2019-03-18,31.09,32.8,31.05,32.8,3482363,111498848.52,2.12797,5.398452
2019-03-19,33.02,33.2,31.98,32.18,2490082,80753670.84,1.521616,-1.890241
2019-03-20,32.68,32.9,31.6,32.22,2787367,90206301.47,1.703279,0.124304
2019-03-21,32.31,32.7,32.0,32.08,2618753,84489621.74,1.600244,-0.434511
2019-03-22,32.25,33.1,31.4,33.04,3440207,111511265.99,2.10221,2.992516
2019-03-25,32.55,33.64,32.2,32.94,3378412,111114502.45,2.064449,-0.30267
2019-03-26,32.88,33.15,29.88,30.5,3893128,122005365.1,2.378977,-7.407404
2019-03-27,30.7,31.16,30.26,30.87,1868330,57545992.34,1.141682,1.213117
2019-03-28,30.91,32.33,30.6,30.7,2388089,75219982.3,1.459292,-0.550697
2019-03-29,30.6,32.09,30.08,31.91,3000469,94113210.87,1.833499,3.941365
2019-04-01,32.4,33.7,32.02,33.35,3398736,112968931.72,2.076868,4.512688
2019-04-02,34.0,34.0,32.75,32.89,2389745,79671775.76,1.460303,-1.379308
2019-04-03,32.71,33.37,32.35,32.9,1980400,64867610.99,1.210165,0.030411
2019-04-04,32.9,33.29,31.5,32.1,3203412,102749170.6,1.957512,-2.43162
2019-04-08,32.01,32.45,30.89,31.6,3039072,95249125.38,1.857088,-1.557627
