日期,开盘,收盘,最高,最低,成交量
2021-01-04,18.4,19.24,19.28,18.25,292229.02
2021-01-05,19.23,20.0,21.1,18.72,431033.95
2021-01-06,19.37,19.3,19.85,19.01,251677.33
2021-01-07,19.1,19.0,19.49,18.62,181909.3
2021-01-08,19.0,18.8,19.24,18.59,161300.25
2021-01-11,18.81,18.8,19.28,18.62,150114.32
2021-01-12,18.85,19.4,19.45,18.68,219431.24
2021-01-13,19.4,19.2,19.45,18.85,171882.11
2021-01-14,19.15,19.29,19.64,19.02,200103.43
2021-01-15,19.3,18.47,19.3,18.31,178540.33
2021-01-18,18.17,18.45,18.61,18.11,87046.36
2021-01-19,18.4,18.16,18.55,18.01,114672.79
2021-01-20,18.0,18.09,18.24,17.92,60877.1
2021-01-21,18.08,19.69,19.88,18.01,433234.78
2021-01-22,19.59,19.53,19.89,19.28,257438.56
2021-01-25,19.34,18.95,19.5,18.89,180292.94
2021-01-26,18.75,17.4,18.93,17.08,349020.04
2021-01-27,17.34,17.43,17.53,17.14,94575.7
2021-01-28,17.22,18.31,18.32,17.2,252057.63
2021-01-29,18.31,17.41,18.31,17.31,141576.61
2021-02-01,17.28,17.36,17.46,17.0,70605.67
2021-02-02,17.37,17.5,17.65,17.26,68608.16
2021-02-03,17.38,16.85,17.54,16.73,119956.83
2021-02-04,16.85,17.05,17.57,16.85,83038.21
2021-02-05,17.12,16.87,17.24,16.79,58701.93
2021-02-08,16.66,15.65,16.87,15.55,158716.53
2021-02-09,15.68,15.7,15.8,15.05,175662.22
2021-02-10,15.69,15.56,15.69,15.31,96856.5
2021-02-18,15.73,15.97,16.3,15.72,108706.58
2021-02-19,16.0,16.27,16.29,15.77,87807.69
2021-02-22,16.3,16.42,16.74,16.3,109104.88
2021-02-23,16.12,16.3,16.49,15.95,84811.79
2021-02-24,16.15,16.2,16.49,16.11,70369.94
2021-02-25,16.36,16.7,16.84,16.23,142246.07
2021-02-26,16.43,16.38,16.59,16.27,62005.91
2021-03-01,16.36,16.44,16.49,16.25,60760.49
2021-03-02,16.5,16.53,16.77,16.27,80690.65
2021-03-03,16.52,16.5,16.52,16.3,51744.33
2021-03-04,16.5,16.35,16.71,16.35,66958.52
2021-03-05,16.17,16.16,16.28,15.88,66636.39
2021-03-08,16.24,16.24,16.76,16.2,99658.03
2021-03-09,16.17,15.31,16.17,15.12,139781.77
2021-03-10,15.34,15.19,15.48,15.1,46196.17
2021-03-11,15.19,15.39,15.44,15.15,42710.34
2021-03-12,15.43,15.24,15.48,15.1,38461.14
2021-03-15,15.25,15.19,15.34,15.15,33340.65
2021-03-16,15.29,15.28,15.41,15.2,32066.04
2021-03-17,15.19,15.33,15.4,15.13,35310.0
2021-03-18,15.48,15.28,15.49,15.24,38962.64
2021-03-19,15.27,15.2,15.35,15.1,50211.0
2021-03-22,15.25,15.41,15.49,15.14,54454.62
2021-03-23,15.35,15.25,15.47,15.18,43903.29
2021-03-24,15.24,15.38,15.45,15.0,72807.33
2021-03-25,15.21,15.33,15.5,15.11,44382.67
2021-03-26,15.31,15.35,15.38,15.18,40733.76
2021-03-29,15.48,15.83,16.1,15.41,124708.72
2021-03-30,15.75,15.83,16.05,15.59,80436.84
2021-03-31,15.85,15.55,15.96,15.5,51311.59
2021-04-01,15.63,15.66,15.71,15.46,47445.72
2021-04-02,15.63,15.78,15.84,15.52,49577.72
2021-04-06,15.75,16.17,16.3,15.65,106723.91
2021-04-07,16.18,16.67,16.75,16.08,138811.6
2021-04-08,16.72,17.66,18.34,16.57,361382.71
2021-04-09,17.41,17.49,17.66,17.1,175990.36
2021-04-12,17.37,17.61,18.05,17.21,172602.08
2021-04-13,17.59,17.8,18.11,17.46,154961.22
2021-04-14,17.71,18.02,18.06,17.64,138101.31
2021-04-15,18.02,17.8,18.15,17.75,125434.53
2021-04-16,17.92,18.54,18.83,17.62,296941.71
2021-04-19,18.51,18.37,18.61,17.9,245025.48
2021-04-20,18.24,17.98,18.54,17.91,184107.34
2021-04-21,17.98,18.84,19.78,17.58,414984.63
2021-04-22,18.78,18.65,19.37,18.57,262919.89
2021-04-23,18.71,18.82,19.07,18.55,154599.35
2021-04-26,19.3,17.18,19.5,17.05,410225.06
2021-04-27,17.38,17.3,17.76,16.98,165900.24
2021-04-28,17.32,17.27,17.38,16.8,142883.18
2021-04-29,17.15,16.55,17.21,16.37,217577.49
2021-04-30,16.2,15.61,16.53,15.3,253802.44
2021-05-06,15.61,15.62,15.97,15.56,119318.48
2021-05-07,15.61,15.44,15.68,15.38,92467.26
2021-05-10,15.42,15.58,15.73,15.25,78776.87
2021-05-11,15.64,16.05,16.09,15.48,114974.94
2021-05-12,16.03,15.9,16.03,15.78,71972.6
2021-05-13,15.8,15.72,16.05,15.71,73142.69
2021-05-14,15.71,16.05,16.16,15.67,102170.85
2021-05-17,16.59,16.14,16.59,16.1,110561.64
2021-05-18,16.06,16.07,16.23,15.7,80560.2
2021-05-19,16.09,16.18,16.3,15.9,77277.28
2021-05-20,16.0,15.98,16.09,15.86,78187.77
2021-05-21,16.01,15.8,16.06,15.78,56051.35
2021-05-24,15.8,15.88,16.0,15.78,53697.13
2021-05-25,15.88,16.13,16.24,15.78,102786.63
2021-05-26,16.14,16.18,16.45,16.14,108996.07
2021-05-27,16.2,16.35,16.44,16.14,93546.35
2021-05-28,16.33,16.07,16.45,15.98,97198.72
2021-05-31,16.1,16.45,16.45,16.08,120327.48
2021-06-01,16.39,16.48,16.58,16.33,99974.61
2021-06-02,16.39,16.12,16.53,16.05,98706.73
2021-06-03,16.07,15.96,16.24,15.94,82028.51
2021-06-04,15.95,15.94,16.1,15.83,71552.93
2021-06-07,15.88,15.93,16.06,15.88,66931.81
2021-06-08,15.93,15.87,15.99,15.65,93691.23
2021-06-09,15.95,16.34,16.55,15.87,153188.98
2021-06-10,16.24,16.4,16.41,16.15,108288.93
2021-06-11,16.4,16.0,16.42,15.98,106477.87
2021-06-15,15.92,15.98,16.06,15.83,64114.03
2021-06-16,15.99,16.29,16.47,15.9,132251.64
2021-06-17,16.3,16.18,16.41,15.99,102782.07
2021-06-18,16.19,16.38,16.47,16.03,160000.88
2021-06-21,16.45,16.64,16.68,16.25,151450.32
2021-06-22,16.65,16.39,16.72,16.29,114813.99
2021-06-23,16.33,16.27,16.36,16.11,90337.41
2021-06-24,16.27,16.15,16.38,16.13,77307.79
2021-06-25,16.15,16.22,16.3,16.1,67204.31
2021-06-28,16.23,16.28,16.52,16.16,104402.73
2021-06-29,16.28,16.14,16.38,16.11,60802.96
2021-06-30,16.14,16.19,16.25,16.11,45267.78
2021-07-01,16.25,15.51,16.25,15.5,160526.0
2021-07-02,15.49,14.79,15.51,14.62,169556.51
2021-07-05,14.79,15.0,15.05,14.79,64128.35
2021-07-06,15.0,14.94,15.14,14.85,65599.92
2021-07-07,14.75,14.96,15.04,14.75,47401.6
2021-07-08,15.02,15.12,15.23,14.91,77172.25
2021-07-09,15.08,14.91,15.08,14.8,66438.62
2021-07-12,14.95,14.99,15.09,14.89,65758.7
2021-07-13,14.99,14.93,15.0,14.82,62952.98
2021-07-14,14.93,14.71,14.93,14.68,67046.69
2021-07-15,14.69,14.38,14.8,14.0,113683.99
2021-07-16,14.3,14.54,14.79,14.24,87456.35
2021-07-19,14.64,14.4,14.67,14.36,57471.24
2021-07-20,14.39,14.5,14.58,14.3,41934.99
2021-07-21,14.58,14.54,14.68,14.46,59107.19
