日期,股票代码,操作,委托价,成交价,数量,成交额,佣金,滑点成本
2019-06-26,002203,买入,10.7,10.72,900,9648.0,5.0,18.000000000001215
2019-07-08,002203,卖出,10.68,10.66,900,9594.0,5.0,17.999999999999616
2019-07-12,002846,买入,13.21,13.23,700,9261.0,5.0,13.999999999999702
2019-07-22,002203,买入,10.19,10.21,800,8168.000000000001,5.0,16.00000000000108
2019-07-26,603663,买入,15.16,15.18,500,7590.0,5.0,9.999999999999787
2019-07-31,603663,卖出,13.93,13.91,500,6955.0,5.0,9.999999999999787
2019-08-09,002846,卖出,11.84,11.82,700,8274.0,5.0,13.999999999999702
2019-08-12,300285,买入,20.32,20.35,400,8140.000000000001,5.0,12.000000000000455
2019-08-13,603663,买入,14.18,14.2,500,7100.0,5.0,9.999999999999787
2019-08-14,300450,买入,33.54,33.58,200,6716.0,5.0,7.9999999999998295
2019-08-26,300450,卖出,30.65,30.61,200,6122.0,5.0,7.9999999999998295
2019-09-09,300285,卖出,25.36,25.33,400,10132.0,5.0,12.000000000000455
2019-09-10,300285,买入,24.54,24.57,300,7371.0,5.0,9.000000000000341
2019-09-20,002203,卖出,10.57,10.55,800,8440.0,5.0,15.999999999999659
2019-09-23,002846,买入,13.1,13.12,600,7871.999999999999,5.0,11.999999999999744
2019-09-24,300285,卖出,22.52,22.49,300,6746.999999999999,5.0,9.000000000000341
2019-09-27,603663,卖出,13.74,13.72,500,6860.0,5.0,9.999999999999787
2019-10-08,002203,买入,10.36,10.38,800,8304.0,5.0,16.00000000000108
2019-10-10,002203,卖出,10.15,10.13,800,8104.000000000001,5.0,15.999999999999659
2019-10-10,300285,买入,22.46,22.49,400,8996.0,5.0,11.999999999999034
2019-10-23,300285,卖出,20.4,20.37,400,8148.0,5.0,11.999999999999034
2019-11-20,300450,买入,35.11,35.15,200,7030.0,5.0,7.9999999999998295
2019-11-22,002846,卖出,14.1,14.08,600,8448.0,5.0,11.999999999999744
2019-12-04,002846,买入,14.28,14.3,600,8580.0,5.0,12.00000000000081
2019-12-12,002846,卖出,14.15,14.13,600,8478.0,5.0,11.999999999999744
2019-12-16,002846,买入,15.42,15.44,500,7720.0,5.0,9.999999999999787
2019-12-18,002846,卖出,17.39,17.37,500,8685.0,5.0,9.999999999999787
2019-12-19,300450,卖出,42.18,42.13,200,8426.0,5.0,9.999999999999432
2019-12-20,300450,买入,42.0,42.05,200,8410.0,5.0,9.999999999999432
2019-12-27,603663,买入,13.22,13.24,600,7944.0,5.0,11.999999999999744
2020-01-13,002846,买入,22.38,22.41,300,6723.0,5.0,9.000000000000341
2020-01-16,002203,买入,10.51,10.53,700,7371.0,5.0,13.999999999999702
2020-01-23,300285,买入,24.55,24.58,200,4916.0,5.0,5.999999999999517
2020-02-03,603663,卖出,11.69,11.67,600,7002.0,5.0,11.999999999999744
2020-02-03,002846,卖出,19.0,18.98,300,5694.0,5.0,5.999999999999872
2020-02-03,002203,卖出,8.79,8.78,700,6146.0,5.0,6.999999999999851
2020-02-03,300285,卖出,22.1,22.07,200,4414.0,5.0,6.000000000000227
2020-02-04,603663,买入,11.26,11.28,700,7896.0,5.0,13.999999999999702
2020-02-04,002203,买入,8.96,8.97,800,7176.000000000001,5.0,7.9999999999998295
2020-02-12,300450,卖出,50.9,50.84,200,10168.0,5.0,11.999999999999034
2020-02-13,603663,卖出,11.76,11.74,700,8218.0,5.0,13.999999999999702
2020-02-24,300450,买入,52.9,52.96,100,5296.0,5.0,6.000000000000227
2020-03-06,300450,卖出,52.6,52.54,100,5254.0,5.0,6.000000000000227
2020-03-23,002846,买入,24.56,24.59,300,7377.0,5.0,9.000000000000341
2020-03-24,300450,买入,39.07,39.11,200,7822.0,5.0,7.9999999999998295
2020-03-25,603663,买入,13.02,13.04,500,6520.0,5.0,9.999999999999787
2020-04-03,002846,卖出,31.46,31.42,300,9426.0,5.0,11.999999999999744
2020-04-07,002846,买入,34.61,34.65,200,6930.0,5.0,7.9999999999998295
2020-04-07,002203,卖出,9.6,9.59,800,7672.0,5.0,7.9999999999998295
2020-04-09,002846,卖出,30.0,29.97,200,5994.0,5.0,6.000000000000227
2020-04-14,603663,卖出,12.59,12.57,500,6285.0,5.0,9.999999999999787
2020-04-24,603663,买入,12.92,12.94,700,9058.0,5.0,13.999999999999702
2020-04-28,300450,卖出,35.59,35.55,200,7109.999999999999,5.0,8.00000000000125
2020-04-29,002846,买入,16.97,16.99,500,8495.0,5.0,9.999999999999787
2020-06-23,300450,买入,46.73,46.78,100,4678.0,5.0,5.000000000000426
2020-06-23,603663,卖出,13.94,13.92,700,9744.0,5.0,13.999999999999702
2020-06-29,002846,卖出,16.71,16.69,500,8345.0,5.0,9.999999999999787
2020-07-24,603663,买入,17.44,17.46,500,8730.0,5.0,9.999999999999787
2020-07-27,300450,卖出,41.49,41.44,100,4144.0,5.0,5.000000000000426
2020-07-30,002846,买入,17.38,17.4,500,8700.0,5.0,9.999999999999787
2020-07-31,300450,买入,44.03,44.08,100,4408.0,5.0,4.999999999999716
2020-08-05,603663,卖出,20.07,20.04,500,10020.0,5.0,15.000000000000568
2020-08-27,603663,买入,20.73,20.76,400,8304.0,5.0,12.000000000000455
2020-08-28,300285,买入,41.69,41.74,100,4174.0,5.0,5.000000000000426
2020-09-09,603663,卖出,18.9,18.88,400,7552.0,5.0,7.9999999999998295
2020-09-10,300285,卖出,39.64,39.6,100,3960.0,5.0,3.9999999999999147
2020-09-10,002846,卖出,15.83,15.81,500,7905.0,5.0,9.999999999999787
2020-09-10,300450,卖出,40.47,40.42,100,4042.0,5.0,4.999999999999716
2020-09-11,002846,买入,16.4,16.42,600,9852.000000000002,5.0,12.000000000001876
2020-09-18,002846,卖出,16.22,16.2,600,9720.0,5.0,11.999999999999744
2020-10-20,300450,买入,55.23,55.29,100,5529.0,5.0,6.000000000000227
2020-11-04,300285,买入,42.4,42.45,200,8490.0,5.0,10.000000000000853
2020-11-04,300450,卖出,66.65,66.58,100,6658.0,5.0,7.000000000000739
2020-11-09,300285,卖出,40.28,40.23,200,8045.999999999999,5.0,10.000000000000853
2020-11-17,002203,买入,8.12,8.13,1200,9756.000000000002,5.0,12.000000000001876
2020-12-17,300285,买入,43.07,43.12,200,8624.0,5.0,9.999999999999432
2020-12-29,002203,卖出,7.41,7.4,1200,8880.0,5.0,11.999999999999744
2021-01-13,300450,买入,88.0,88.09,100,8809.0,5.0,9.000000000000341
2021-01-19,688155,买入,71.44,71.52,100,7152.0,5.0,7.9999999999998295
2021-01-25,688155,卖出,86.76,86.67,100,8667.0,5.0,9.000000000000341
2021-01-29,300450,卖出,89.5,89.41,100,8941.0,5.0,9.000000000000341
2021-01-29,002203,买入,8.13,8.14,1100,8954.0,5.0,10.999999999999766
2021-02-02,603663,买入,14.62,14.64,500,7320.0,5.0,10.000000000000675
2021-02-10,002846,买入,15.14,15.16,400,6064.0,5.0,7.9999999999998295
2021-02-10,300285,卖出,55.68,55.62,200,11124.0,5.0,12.000000000000455
2021-02-18,300285,买入,56.5,56.56,100,5656.0,5.0,6.000000000000227
2021-02-22,300285,卖出,50.68,50.62,100,5062.0,5.0,6.000000000000227
2021-02-23,002203,卖出,8.97,8.96,1100,9856.000000000002,5.0,10.999999999999766
2021-03-04,603663,卖出,16.41,16.39,500,8195.0,5.0,9.999999999999787
2021-03-11,300450,买入,76.5,76.58,100,7658.0,5.0,7.9999999999998295
2021-03-24,300450,卖出,72.0,71.92,100,7192.0,5.0,7.9999999999998295
2021-03-25,002846,卖出,14.69,14.67,400,5868.0,5.0,7.9999999999998295
2021-04-16,300450,买入,82.1,82.19,100,8219.0,5.0,9.000000000000341
2021-04-19,688155,买入,82.06,82.15,100,8215.0,5.0,9.000000000000341
2021-04-20,300285,买入,49.26,49.31,100,4931.0,5.0,5.000000000000426
2021-04-26,002203,买入,10.41,10.43,700,7301.0,5.0,13.999999999999702
2021-05-06,688155,卖出,89.45,89.36,100,8936.0,5.0,9.000000000000341
2021-05-11,300285,卖出,46.77,46.72,100,4672.0,5.0,5.000000000000426
2021-05-13,300450,卖出,74.41,74.33,100,7433.0,5.0,7.9999999999998295
2021-05-27,300285,买入,51.76,51.82,100,5182.0,5.0,6.000000000000227
2021-05-31,688155,买入,89.3,89.39,100,8939.0,5.0,9.000000000000341
2021-06-04,300285,卖出,50.97,50.91,100,5091.0,5.0,6.000000000000227
2021-06-11,300285,买入,51.5,51.56,100,5156.0,5.0,6.000000000000227
2021-06-17,002203,卖出,10.03,10.01,700,7007.0,5.0,13.999999999999702
2021-06-28,688155,卖出,113.88,113.76,100,11376.0,5.0,11.999999999999034
2021-07-01,300285,卖出,46.88,46.83,100,4683.0,5.0,5.000000000000426
2021-07-06,300450,买入,59.9,59.96,100,5996.0,5.0,6.000000000000227
2021-07-13,300450,卖出,71.15,71.07,100,7106.999999999999,5.0,8.00000000000125
2021-07-16,002203,买入,10.54,10.56,900,9504.0,5.0,18.000000000001215
2021-07-16,300285,买入,46.56,46.61,200,9322.0,5.0,9.999999999999432
2021-07-22,603663,买入,16.78,16.8,500,8400.0,5.0,9.999999999999787
2021-07-26,603663,卖出,17.66,17.64,500,8820.0,5.0,9.999999999999787
2021-07-29,002846,买入,7.6,7.61,1100,8371.0,5.0,11.000000000000743
2021-07-30,300450,买入,76.0,76.08,100,7608.0,5.0,7.9999999999998295
2021-08-18,300450,卖出,73.08,73.0,100,7300.0,5.0,7.9999999999998295
2021-08-27,002846,卖出,7.67,7.66,1100,8426.0,5.0,10.999999999999766
2021-08-30,603663,买入,25.8,25.83,300,7748.999999999999,5.0,8.999999999999275
2021-09-03,300285,卖出,40.99,40.94,200,8188.0,5.0,10.000000000000853
2021-09-14,002203,卖出,12.03,12.01,900,10809.0,5.0,17.999999999999616
2021-09-14,603663,卖出,23.17,23.14,300,6942.0,5.0,9.000000000000341
2021-10-26,300450,买入,77.69,77.77,100,7777.0,5.0,7.9999999999998295
2021-10-29,002203,买入,10.53,10.55,900,9495.0,5.0,18.000000000001215
2021-11-04,300285,买入,44.66,44.71,100,4471.0,5.0,5.000000000000426
2021-11-16,002203,卖出,12.22,12.2,900,10980.0,5.0,18.000000000001215
2021-11-22,002203,买入,12.5,12.52,700,8764.0,5.0,13.999999999999702
2021-12-02,002846,买入,7.47,7.48,1100,8228.0,5.0,11.000000000000743
2021-12-08,300285,卖出,43.98,43.93,100,4393.0,5.0,4.999999999999716
2021-12-14,603663,买入,27.82,27.85,200,5570.0,5.0,6.000000000000227
2021-12-21,300450,卖出,74.8,74.72,100,7472.0,5.0,7.9999999999998295
2021-12-24,603663,卖出,23.62,23.59,200,4718.0,5.0,6.000000000000227
2022-01-04,603663,买入,26.66,26.69,300,8007.0,5.0,9.000000000000341
2022-01-04,300285,买入,41.85,41.9,100,4190.0,5.0,4.999999999999716
2022-01-06,300285,卖出,39.5,39.46,100,3946.0,5.0,3.9999999999999147
2022-01-07,603663,卖出,24.19,24.16,300,7248.0,5.0,9.000000000000341
2022-01-17,002203,卖出,12.49,12.47,700,8729.0,5.0,13.999999999999702
2022-02-07,002846,卖出,7.18,7.17,1100,7887.0,5.0,10.999999999999766
2022-02-08,002846,买入,7.25,7.26,1400,10164.0,5.0,13.999999999999702
2022-03-09,300450,买入,54.94,55.0,100,5500.0,5.0,6.000000000000227
2022-03-09,002203,买入,10.87,10.89,800,8712.0,5.0,16.00000000000108
2022-03-10,300285,买入,34.96,35.0,200,7000.0,5.0,7.9999999999998295
2022-03-15,002846,卖出,6.58,6.57,1400,9198.0,5.0,13.999999999999702
2022-03-16,002846,买入,6.74,6.75,1200,8100.0,5.0,11.999999999999744
2022-04-01,002846,卖出,7.67,7.66,1200,9192.0,5.0,11.999999999999744
2022-04-07,300450,卖出,53.6,53.54,100,5354.0,5.0,6.000000000000227
2022-04-11,002203,卖出,9.86,9.85,800,7880.0,5.0,7.9999999999998295
2022-04-13,300285,卖出,31.98,31.94,200,6388.0,5.0,7.9999999999998295
2022-04-14,688155,买入,83.53,83.62,100,8362.0,5.0,9.000000000000341
2022-04-14,002203,买入,10.01,10.03,900,9027.0,5.0,17.999999999999616
2022-04-25,688778,买入,58.6,58.66,100,5866.0,5.0,5.999999999999517
2022-04-25,002846,买入,5.66,5.67,1300,7371.0,5.0,12.999999999999723
2022-04-25,688155,卖出,71.5,71.42,100,7142.0,5.0,7.9999999999998295
2022-04-25,002203,卖出,8.56,8.55,900,7695.000000000001,5.0,8.999999999999808
2022-05-11,688778,卖出,73.15,73.07,100,7306.999999999999,5.0,8.00000000000125
2022-05-25,002846,卖出,6.5,6.49,1300,8437.0,5.0,12.999999999999723
2022-05-30,688778,买入,88.07,88.16,100,8816.0,5.0,9.000000000000341
2022-05-30,300285,买入,35.02,35.06,200,7012.0,5.0,7.9999999999998295
2022-06-02,002846,买入,6.13,6.14,1400,8596.0,5.0,13.999999999999702
2022-06-16,603663,买入,19.21,19.23,400,7692.0,5.0,7.9999999999998295
2022-06-17,688778,卖出,106.59,106.48,100,10648.0,5.0,10.999999999999943
2022-06-22,300450,买入,64.4,64.47,100,6447.0,5.0,6.999999999999318
2022-06-23,002846,卖出,6.62,6.61,1400,9254.0,5.0,13.999999999999702
2022-06-28,300450,卖出,67.85,67.78,100,6778.0,5.0,6.999999999999318
2022-07-06,002203,买入,11.4,11.42,700,7994.0,5.0,13.999999999999702
2022-07-11,300285,卖出,32.16,32.12,200,6423.999999999999,5.0,7.9999999999998295
2022-07-12,603663,卖出,16.9,16.88,400,6752.0,5.0,7.9999999999998295
2022-07-14,002846,买入,6.57,6.58,1400,9212.0,5.0,13.999999999999702
2022-07-18,002846,卖出,6.28,6.27,1400,8778.0,5.0,14.000000000000945
2022-07-22,002846,买入,6.5,6.51,1400,9114.0,5.0,13.999999999999702
2022-07-27,002846,卖出,7.93,7.92,1400,11088.0,5.0,13.999999999999702
2022-08-10,603663,买入,17.94,17.96,500,8980.0,5.0,9.999999999999787
2022-08-18,300450,买入,62.6,62.67,100,6267.0,5.0,7.000000000000028
2022-08-19,300285,买入,33.4,33.44,200,6688.0,5.0,7.9999999999998295
2022-08-24,603663,卖出,15.81,15.79,500,7895.0,5.0,10.000000000000675
2022-08-25,300285,卖出,32.4,32.36,200,6472.0,5.0,7.9999999999998295
2022-08-26,300450,卖出,57.53,57.47,100,5747.0,5.0,6.000000000000227
2022-09-05,002203,卖出,11.23,11.21,700,7847.000000000001,5.0,13.999999999999702
2022-09-08,688155,买入,75.98,76.06,100,7606.0,5.0,7.9999999999998295
2022-09-08,300285,买入,29.8,29.83,300,8949.0,5.0,8.999999999999275
2022-09-09,688155,卖出,75.42,75.34,100,7534.0,5.0,7.9999999999998295
2022-09-13,688155,买入,76.72,76.8,100,7680.0,5.0,7.9999999999998295
2022-09-23,603663,买入,13.77,13.79,600,8274.0,5.0,11.999999999999744
2022-09-23,688155,卖出,69.3,69.23,100,6923.0,5.0,6.999999999999318
2022-09-26,688155,买入,69.59,69.66,100,6966.0,5.0,6.999999999999318
2022-09-26,603663,卖出,13.39,13.37,600,8021.999999999999,5.0,12.00000000000081
2022-09-29,300285,卖出,30.02,29.98,300,8994.0,5.0,11.999999999999744
2022-09-30,300450,买入,47.31,47.36,100,4736.0,5.0,4.999999999999716
2022-10-10,300450,卖出,46.56,46.51,100,4651.0,5.0,5.000000000000426
2022-10-10,688155,卖出,61.0,60.93,100,6093.0,5.0,7.000000000000028
2022-10-11,688155,买入,61.34,61.41,100,6141.0,5.0,6.999999999999318
2022-10-13,603663,买入,14.7,14.72,600,8832.0,5.0,12.00000000000081
2022-10-13,002846,买入,6.64,6.65,1200,7980.0,5.0,12.00000000000081
2022-10-17,300285,买入,26.03,26.06,200,5212.0,5.0,5.999999999999517
2022-10-24,300285,卖出,23.65,23.62,200,4724.0,5.0,5.999999999999517
2022-10-26,688155,卖出,65.42,65.35,100,6534.999999999999,5.0,7.000000000000739
2022-10-26,300285,买入,23.72,23.75,300,7125.0,5.0,9.000000000000341
2022-10-27,002846,卖出,7.13,7.12,1200,8544.0,5.0,11.999999999999744
2022-10-28,603663,卖出,13.09,13.07,600,7842.0,5.0,11.999999999999744
2022-11-03,002846,买入,8.2,8.21,1100,9031.000000000002,5.0,11.00000000000172
2022-11-04,603663,买入,14.41,14.43,500,7215.0,5.0,9.999999999999787
2022-11-15,300285,卖出,30.3,30.26,300,9078.0,5.0,11.999999999999744
2022-11-22,002846,卖出,10.77,10.75,1100,11825.0,5.0,21.99999999999953
2022-11-23,002846,买入,11.85,11.87,800,9496.0,5.0,15.999999999999659
2022-11-24,300285,买入,28.17,28.2,300,8460.0,5.0,8.999999999999275
2022-11-25,002846,卖出,11.74,11.72,800,9376.0,5.0,15.999999999999659
2022-11-30,300450,买入,43.76,43.81,200,8762.0,5.0,10.000000000000853
2022-12-09,300285,卖出,29.13,29.1,300,8730.0,5.0,8.999999999999275
2022-12-13,300285,买入,30.01,30.05,200,6010.0,5.0,7.9999999999998295
2022-12-14,300450,卖出,41.1,41.05,200,8210.0,5.0,10.000000000000853
2022-12-16,300450,买入,42.15,42.2,200,8440.0,5.0,10.000000000000853
2022-12-16,603663,卖出,13.08,13.06,500,6530.0,5.0,9.999999999999787
2022-12-21,300450,卖出,40.97,40.92,200,8184.0,5.0,9.999999999999432
2022-12-27,300450,买入,41.51,41.56,200,8312.0,5.0,10.000000000000853
2022-12-30,300285,卖出,27.57,27.54,200,5508.0,5.0,6.000000000000227
2023-01-03,300285,买入,27.7,27.73,300,8319.0,5.0,9.000000000000341
2023-01-04,688155,买入,54.02,54.08,100,5408.0,5.0,5.999999999999517
2023-01-06,301150,买入,69.05,69.12,100,6912.0,5.0,7.000000000000739
2023-01-09,300450,卖出,43.17,43.12,200,8624.0,5.0,10.000000000000853
2023-01-19,300285,卖出,33.5,33.46,300,10038.0,5.0,11.999999999999744
2023-01-30,688155,卖出,56.95,56.89,100,5689.0,5.0,6.000000000000227
2023-02-01,301150,卖出,72.44,72.36,100,7236.0,5.0,7.9999999999998295
2023-02-16,300450,买入,46.2,46.25,200,9250.0,5.0,9.999999999999432
2023-02-17,300450,卖出,45.08,45.03,200,9006.0,5.0,9.999999999999432
2023-02-20,688778,买入,79.02,79.1,100,7909.999999999999,5.0,7.9999999999998295
2023-02-28,301150,买入,68.49,68.56,100,6856.0,5.0,7.000000000000739
2023-02-28,688778,卖出,78.35,78.27,100,7827.0,5.0,7.9999999999998295
2023-03-02,300450,买入,43.64,43.69,200,8738.0,5.0,9.999999999999432
2023-03-02,688155,买入,54.18,54.24,100,5424.0,5.0,6.000000000000227
2023-03-02,603663,买入,15.61,15.63,500,7815.0,5.0,10.000000000000675
2023-03-06,688155,卖出,53.42,53.36,100,5336.0,5.0,6.000000000000227
2023-03-08,301150,卖出,67.14,67.07,100,6706.999999999999,5.0,7.000000000000739
2023-03-16,688778,买入,70.86,70.94,100,7094.0,5.0,7.9999999999998295
