date,total_value
2023-01-03,100261.4854
2023-01-04,99592.4854
2023-01-05,100531.4854
2023-01-06,101180.4854
2023-01-09,102041.4854
2023-01-10,102199.4854
2023-01-11,102438.4854
2023-01-12,101777.4854
2023-01-13,102114.4854
2023-01-16,102883.4854
2023-01-17,105529.4854
2023-01-18,104766.4854
2023-01-19,105334.4854
2023-01-20,104878.3653
2023-01-30,105088.3653
2023-01-31,105420.3653
2023-02-01,107946.3653
2023-02-02,108672.6138
2023-02-03,108570.6138
2023-02-06,109033.6138
2023-02-07,108420.6138
2023-02-08,108298.6138
2023-02-09,108509.6138
2023-02-10,108708.6138
2023-02-13,109028.6138
2023-02-14,108881.6138
2023-02-15,109810.6138
2023-02-16,107192.6138
2023-02-17,106356.6138
2023-02-20,107106.6138
2023-02-21,108392.6138
2023-02-22,109531.6138
2023-02-23,109461.6138
2023-02-24,109544.6138
2023-02-27,109091.6138
2023-02-28,109448.6138
2023-03-01,110173.6138
2023-03-02,110746.6138
2023-03-03,109718.6138
2023-03-06,110810.6138
2023-03-07,108575.6138
2023-03-08,109817.6138
2023-03-09,109890.6138
2023-03-10,108624.6138
2023-03-13,108521.6138
2023-03-14,107977.6138
2023-03-15,108785.6138
2023-03-16,106878.6138
2023-03-17,107004.6138
2023-03-20,106340.6138
2023-03-21,106842.6138
2023-03-22,107132.6138
2023-03-23,107414.6138
2023-03-24,106915.6138
2023-03-27,106890.6138
2023-03-28,106032.6138
2023-03-29,105789.6138
2023-03-30,106107.6138
2023-03-31,106801.6138
2023-04-03,107570.6138
2023-04-04,106371.6138
2023-04-06,106519.6138
2023-04-07,106524.6138
2023-04-10,105955.6138
2023-04-11,105471.6138
2023-04-12,105233.6138
2023-04-13,105137.6138
2023-04-14,104665.6138
2023-04-17,106069.6138
2023-04-18,105916.6138
2023-04-19,105330.6138
2023-04-20,104957.6138
2023-04-21,103338.6138
2023-04-24,102153.6138
2023-04-25,99977.6138
2023-04-26,100052.6138
2023-04-27,100156.6138
2023-04-28,100817.6138
2023-05-04,100065.6138
2023-05-05,98476.6138
2023-05-08,98278.6138
2023-05-09,97226.6138
2023-05-10,97472.6138
2023-05-11,97252.6138
2023-05-12,96851.6138
2023-05-15,97376.6138
2023-05-16,96983.6138
2023-05-17,97065.6138
2023-05-18,97068.6138
2023-05-19,97327.6138
2023-05-22,97381.6138
2023-05-23,96808.6138
2023-05-24,97237.6138
2023-05-25,97162.6138
2023-05-26,96950.6138
2023-05-29,96896.6138
2023-05-30,97352.6138
2023-05-31,97604.6138
2023-06-01,98360.6138
2023-06-02,98665.6138
2023-06-05,97690.6138
2023-06-06,95593.6138
2023-06-07,95547.6138
2023-06-08,94929.6138
2023-06-09,95742.6138
2023-06-12,95751.6138
2023-06-13,95939.6138
2023-06-14,94493.6138
2023-06-15,95680.6138
2023-06-16,96044.6138
2023-06-19,96085.6138
2023-06-20,95953.6138
2023-06-21,94630.6138
2023-06-26,93499.6138
2023-06-27,95039.6138
2023-06-28,95096.6138
2023-06-29,95077.6138
2023-06-30,96575.6138
2023-07-03,97447.6138
2023-07-04,98599.6138
2023-07-05,97085.6138
2023-07-06,97388.6138
2023-07-07,96813.6138
2023-07-10,98129.6138
2023-07-11,98295.6138
2023-07-12,97173.6138
2023-07-13,97089.6138
2023-07-14,97094.6138
2023-07-17,97354.6138
2023-07-18,97542.6138
2023-07-19,96678.6138
2023-07-20,95910.6138
2023-07-21,96301.6138
2023-07-24,95582.6138
2023-07-25,96540.6138
2023-07-26,95805.6138
2023-07-27,95369.6138
2023-07-28,95963.6138
2023-07-31,95969.6138
2023-08-01,95544.6138
2023-08-02,96298.6138
2023-08-03,96195.6138
2023-08-04,95880.6138
2023-08-07,95696.6138
2023-08-08,94852.6138
2023-08-09,94644.6138
2023-08-10,95262.6138
2023-08-11,94319.6138
2023-08-14,93514.6138
2023-08-15,93096.6138
2023-08-16,92373.6138
2023-08-17,93370.6138
2023-08-18,92490.6138
2023-08-21,91297.6138
2023-08-22,91290.6138
2023-08-23,90185.6138
2023-08-24,90462.6138
2023-08-25,89403.6138
2023-08-28,88890.6138
2023-08-29,90663.6138
2023-08-30,92132.6138
2023-08-31,91396.6138
2023-09-01,91229.6138
2023-09-04,92038.6138
2023-09-05,92707.6138
2023-09-06,93089.6138
2023-09-07,91445.6138
2023-09-08,91452.6138
2023-09-11,91885.6138
2023-09-12,91849.6138
2023-09-13,91130.6138
2023-09-14,90325.6138
2023-09-15,90575.6138
2023-09-18,90324.6138
2023-09-19,90178.6138
2023-09-20,89868.6138
2023-09-21,89309.6138
2023-09-22,90101.6138
2023-09-25,89718.6138
2023-09-26,88965.6138
2023-09-27,89200.6138
2023-09-28,91101.6138
2023-10-09,90568.6138
2023-10-10,90026.6138
2023-10-11,90742.6138
2023-10-12,91318.6138
2023-10-13,91256.6138
2023-10-16,89811.6138
2023-10-17,90141.6138
2023-10-18,89759.6138
2023-10-19,89754.6138
2023-10-20,90566.6138
2023-10-23,91281.6138
2023-10-24,91425.6138
2023-10-25,91349.6138
2023-10-26,91449.6138
2023-10-27,91975.6138
2023-10-30,92689.6138
2023-10-31,92032.6138
2023-11-01,92797.6138
2023-11-02,90338.6138
2023-11-03,91390.6138
2023-11-06,92304.6138
2023-11-07,92445.6138
2023-11-08,92252.6138
2023-11-09,91633.6138
2023-11-10,92143.6138
2023-11-13,92934.6138
2023-11-14,92521.6138
2023-11-15,92752.6138
2023-11-16,91608.6138
2023-11-17,91998.6138
2023-11-20,92911.6138
2023-11-21,91804.6138
2023-11-22,90703.6138
2023-11-23,91951.6138
2023-11-24,90697.6138
2023-11-27,91162.6138
2023-11-28,92044.6138
2023-11-29,92904.6138
2023-11-30,92314.6138
2023-12-01,92022.6138
2023-12-04,92057.6138
2023-12-05,90863.6138
2023-12-06,91174.6138
2023-12-07,90566.6138
2023-12-08,89744.6138
2023-12-11,90049.6138
2023-12-12,89817.6138
2023-12-13,89129.6138
2023-12-14,89121.6138
2023-12-15,88858.6138
2023-12-18,88401.6138
2023-12-19,88500.6138
2023-12-20,88081.6138
2023-12-21,88392.6138
2023-12-22,87855.6138
2023-12-25,87785.6138
2023-12-26,87751.6138
2023-12-27,87681.6138
2023-12-28,89198.6138
2023-12-29,89628.6138
2024-01-02,89108.6138
2024-01-03,88408.6138
2024-01-04,87552.6138
2024-01-05,86994.6138
2024-01-08,86671.6138
2024-01-09,86363.6138
2024-01-10,86297.6138
2024-01-11,86817.6138
2024-01-12,87043.6138
2024-01-15,86869.6138
2024-01-16,86677.6138
2024-01-17,86227.6138
2024-01-18,86455.6138
2024-01-19,86720.6138
2024-01-22,86018.5087
2024-01-23,86639.5087
2024-01-24,86072.5087
2024-01-25,89024.5087
2024-01-26,88159.5087
2024-01-29,86242.5087
2024-01-30,84022.5087
2024-01-31,82039.5087
2024-02-01,81329.5087
2024-02-02,84653.5087
2024-02-05,80124.5087
2024-02-06,81443.5087
2024-02-07,81757.5087
2024-02-08,86622.5087
2024-02-19,89323.5087
2024-02-20,90281.5087
2024-02-21,91193.5087
2024-02-22,91940.5087
2024-02-23,93032.5087
2024-02-26,93502.5087
2024-02-27,95254.5087
2024-02-28,92876.5087
2024-02-29,94304.5087
2024-03-01,94685.5087
2024-03-04,94296.5087
2024-03-05,93925.5087
2024-03-06,93865.5087
2024-03-07,93351.5087
2024-03-08,95014.5087
2024-03-11,95705.5087
2024-03-12,94508.5087
2024-03-13,95429.5087
2024-03-14,94248.5087
2024-03-15,95438.5087
2024-03-18,95538.5087
2024-03-19,94965.5087
2024-03-20,95030.5087
2024-03-21,95130.5087
2024-03-22,93800.5087
2024-03-25,92565.5087
2024-03-26,93507.5087
2024-03-27,90765.5087
2024-03-28,92011.5087
2024-03-29,92951.5087
2024-04-01,95826.5087
2024-04-02,95664.5087
2024-04-03,94763.5087
2024-04-08,94342.5087
2024-04-09,95801.5087
2024-04-10,94865.5087
2024-04-11,94613.5087
2024-04-12,91241.5087
2024-04-15,89605.5087
2024-04-16,86556.5087
2024-04-17,87290.5087
2024-04-18,87545.5087
2024-04-19,87083.5087
2024-04-22,87257.5087
2024-04-23,87169.5087
2024-04-24,88198.5087
2024-04-25,87906.5087
2024-04-26,87508.5087
2024-04-29,88921.5087
2024-04-30,87909.5087
2024-05-06,89905.5087
2024-05-07,93119.45920000001
2024-05-08,92173.45920000001
2024-05-09,93387.45920000001
2024-05-10,92765.45920000001
2024-05-13,91856.45920000001
2024-05-14,91978.45920000001
2024-05-15,91487.45920000001
2024-05-16,91538.45920000001
2024-05-17,91513.45920000001
2024-05-20,92588.45920000001
2024-05-21,91914.45920000001
2024-05-22,91993.45920000001
2024-05-23,92387.45920000001
2024-05-24,93578.45920000001
2024-05-27,92752.45920000001
2024-05-28,93601.45920000001
2024-05-29,94839.45920000001
2024-05-30,92807.45920000001
2024-05-31,93955.45920000001
2024-06-03,92303.45920000001
2024-06-04,90638.45920000001
2024-06-05,90242.45920000001
2024-06-06,88270.45920000001
2024-06-07,88542.45920000001
2024-06-11,88533.45920000001
2024-06-12,88959.45920000001
2024-06-13,89184.45920000001
2024-06-14,88788.45920000001
2024-06-17,89043.45920000001
2024-06-18,88944.45920000001
2024-06-19,88482.45920000001
2024-06-20,87568.45920000001
2024-06-21,87106.45920000001
2024-06-24,86033.45920000001
2024-06-25,85943.45920000001
2024-06-26,86295.45920000001
2024-06-27,86021.45920000001
2024-06-28,85797.45920000001
2024-07-01,85587.45920000001
2024-07-02,84167.45920000001
2024-07-03,83752.45920000001
2024-07-04,83103.45920000001
2024-07-05,83927.45920000001
2024-07-08,82859.45920000001
2024-07-09,84814.45920000001
2024-07-10,84769.45920000001
2024-07-11,86103.45920000001
2024-07-12,85734.45920000001
2024-07-15,84476.45920000001
2024-07-16,85392.45920000001
2024-07-17,85737.45920000001
2024-07-18,85818.45920000001
2024-07-19,86099.45920000001
2024-07-22,86073.45920000001
2024-07-23,84598.45920000001
2024-07-24,84146.45920000001
2024-07-25,84056.45920000001
2024-07-26,85283.45920000001
2024-07-29,85397.45920000001
2024-07-30,86069.45920000001
2024-07-31,87656.45920000001
2024-08-01,87793.45920000001
2024-08-02,85455.45920000001
2024-08-05,83618.45920000001
2024-08-06,84116.45920000001
2024-08-07,85922.45920000001
