日期,股票代码,操作,委托价,成交价,数量,成交额,佣金,滑点成本
2023-01-04,605598,买入,26.23,26.26,700,18382.0,5.5146,21.000000000000796
2023-01-04,688155,买入,54.02,54.08,300,16224.0,5.0,17.99999999999855
2023-01-05,300092,买入,14.0,14.02,900,12618.0,5.0,17.999999999999616
2023-01-05,300285,买入,28.6,28.63,300,8589.0,5.0,8.999999999999275
2023-01-06,301005,买入,25.51,25.54,300,7662.0,5.0,8.999999999999275
2023-01-06,301150,买入,69.05,69.12,100,6912.0,5.0,7.000000000000739
2023-01-18,301005,卖出,26.6,26.57,300,7971.0,5.0,9.000000000000341
2023-01-30,688155,卖出,56.95,56.89,300,17067.0,5.1201,18.000000000000682
2023-02-01,301150,卖出,72.44,72.36,100,7236.0,5.0,7.9999999999998295
2023-02-02,605598,卖出,32.19,32.15,700,22505.0,6.751499999999999,27.999999999999403
2023-02-07,301005,买入,27.38,27.41,600,16446.0,5.0,18.000000000000682
2023-02-08,605598,买入,32.3,32.34,400,12936.000000000002,5.0,16.0000000000025
2023-02-13,300092,卖出,16.86,16.84,900,15156.0,5.0,17.999999999999616
2023-02-14,300092,买入,17.28,17.3,800,13840.0,5.0,15.999999999999659
2023-02-16,002565,买入,4.24,4.25,2600,11050.0,5.0,25.999999999999446
2023-02-16,300450,买入,46.2,46.25,100,4625.0,5.0,4.999999999999716
2023-02-16,600118,买入,23.7,23.73,300,7119.0,5.0,9.000000000000341
2023-02-16,601698,买入,12.68,12.7,500,6350.0,5.0,9.999999999999787
2023-02-16,605598,卖出,29.45,29.42,400,11768.0,5.0,11.999999999999034
2023-02-17,300450,卖出,45.08,45.03,100,4503.0,5.0,4.999999999999716
2023-02-17,605598,买入,29.51,29.54,200,5908.0,5.0,5.999999999999517
2023-02-20,300285,卖出,32.79,32.75,300,9825.0,5.0,11.999999999999744
2023-02-20,688778,买入,79.02,79.1,100,7909.999999999999,5.0,7.9999999999998295
2023-02-24,600118,卖出,28.95,28.92,300,8676.0,5.0,8.999999999999275
2023-02-27,300136,买入,18.49,18.51,500,9255.0,5.0,10.000000000001563
2023-02-28,301150,买入,68.49,68.56,100,6856.0,5.0,7.000000000000739
2023-02-28,688778,卖出,78.35,78.27,100,7827.0,5.0,7.9999999999998295
2023-03-02,300450,买入,43.64,43.69,100,4369.0,5.0,4.999999999999716
2023-03-02,603663,买入,15.61,15.63,400,6252.0,5.0,8.00000000000054
2023-03-02,688155,买入,54.18,54.24,100,5424.0,5.0,6.000000000000227
2023-03-02,601698,卖出,15.84,15.82,500,7910.0,5.0,9.999999999999787
2023-03-06,688155,卖出,53.42,53.36,100,5336.0,5.0,6.000000000000227
2023-03-07,300342,买入,10.21,10.23,700,7161.0,5.0,13.999999999999702
2023-03-07,301005,卖出,25.21,25.18,600,15108.0,5.0,18.000000000000682
2023-03-08,301150,卖出,67.14,67.07,100,6706.999999999999,5.0,7.000000000000739
2023-03-13,300092,卖出,15.48,15.46,800,12368.0,5.0,15.999999999999659
2023-03-16,300092,买入,15.23,15.25,800,12200.0,5.0,15.999999999999659
2023-03-16,688778,买入,70.86,70.94,100,7094.0,5.0,7.9999999999998295
2023-03-16,002565,卖出,3.89,3.88,2600,10088.0,5.0,26.0000000000006
2023-03-16,300450,卖出,38.88,38.84,100,3884.0000000000005,5.0,3.9999999999999147
2023-03-16,603663,卖出,14.22,14.2,400,5680.0,5.0,8.00000000000054
2023-03-17,300092,卖出,14.82,14.8,800,11840.0,5.0,15.999999999999659
2023-03-17,300450,买入,38.75,38.79,300,11637.0,5.0,11.999999999999744
2023-03-20,688155,买入,55.12,55.18,200,11036.0,5.0,12.000000000000455
2023-03-21,605598,卖出,31.19,31.15,200,6230.0,5.0,8.00000000000054
2023-03-22,002203,买入,12.02,12.04,900,10836.0,5.0,17.999999999999616
2023-03-23,600879,买入,8.33,8.34,1100,9174.0,5.0,10.999999999999766
2023-04-03,603663,买入,15.04,15.06,500,7530.0,5.0,10.000000000000675
2023-04-03,300136,卖出,22.23,22.2,500,11100.0,5.0,15.000000000000568
2023-04-04,300136,买入,21.95,21.98,300,6594.0,5.0,9.000000000000341
2023-04-04,688778,卖出,67.83,67.76,100,6776.000000000001,5.0,6.999999999999318
2023-04-07,002203,卖出,11.56,11.54,900,10386.0,5.0,18.000000000001215
2023-04-13,300342,卖出,9.37,9.36,700,6552.0,5.0,6.999999999999851
2023-04-17,605598,买入,34.98,35.02,300,10506.000000000002,5.0,12.000000000001876
2023-04-17,300136,卖出,20.2,20.17,300,6051.000000000001,5.0,8.999999999999275
2023-04-18,002203,买入,11.64,11.66,900,10494.0,5.0,17.999999999999616
2023-04-20,002149,买入,17.22,17.24,500,8620.0,5.0,9.999999999999787
2023-04-21,002203,卖出,11.16,11.14,900,10026.0,5.0,17.999999999999616
2023-04-21,301150,买入,65.1,65.17,100,6517.0,5.0,7.000000000000739
2023-04-24,300450,卖出,35.92,35.88,300,10764.0,5.0,11.999999999999744
2023-04-24,600879,卖出,7.57,7.56,1100,8316.0,5.0,11.000000000000743
2023-04-25,301150,卖出,56.22,56.16,100,5616.0,5.0,6.000000000000227
2023-04-26,605598,卖出,32.16,32.12,300,9636.0,5.0,11.999999999999744
2023-04-27,300762,买入,12.29,12.31,1200,14772.0,5.0,24.00000000000162
2023-04-28,300092,买入,15.93,15.95,700,11165.0,5.0,13.999999999999702
2023-04-28,300285,买入,29.45,29.48,300,8844.0,5.0,9.000000000000341
2023-05-05,688155,卖出,49.7,49.65,200,9930.0,5.0,10.000000000000853
2023-05-05,002149,卖出,15.71,15.69,500,7845.0,5.0,10.000000000000675
2023-05-09,300092,卖出,14.63,14.61,700,10227.0,5.0,14.000000000000945
2023-05-12,603663,卖出,13.74,13.72,500,6860.0,5.0,9.999999999999787
2023-05-18,600879,买入,7.94,7.95,1800,14310.0,5.0,17.999999999999616
2023-05-22,300136,买入,19.15,19.17,600,11502.000000000002,5.0,12.000000000001876
2023-05-26,300285,卖出,27.08,27.05,300,8115.0,5.0,8.999999999999275
2023-06-05,002565,买入,2.96,2.97,3800,11286.0,5.0,38.00000000000088
2023-06-05,300136,卖出,19.9,19.88,600,11928.0,5.0,11.999999999999744
2023-06-05,300450,买入,33.09,33.13,300,9939.0,5.0,11.999999999999744
2023-06-05,603663,买入,14.7,14.72,600,8832.0,5.0,12.00000000000081
2023-06-08,688778,买入,49.9,49.95,100,4995.0,5.0,5.000000000000426
2023-06-12,600118,买入,27.06,27.09,200,5418.0,5.0,6.000000000000227
2023-06-12,603663,卖出,14.25,14.23,600,8538.0,5.0,11.999999999999744
